section,description,unitPrice,unitPriceNumber,exampleFile,row
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Pre Rigging and Prep Work,95.00,95.0,PB Q Low Loader No.1 - 2026.xls,16
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Artic Low Loader No1 OR No.2 Elite Tracking Trailer,"1,075.00",1075.0,Low Loader No.1 OR No.2 - 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"Hire of Existing Pod Car Rig per day (White Insignia, Audi Q3, Landrover Discovery)","1,100.00",1100.0,Pod Car Hire 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"Pre-Rigging, Prep and loading",,,Pod Car Hire 2026.xls,14
Labour Rates - Daily Rates - 2 man Crew TBC,Precision Pod Car Driver per 10hr Cont. Day - Below Terms Apply to this Drivers rate,790.00,790.0,Pod Car Hire 2026.xls,18
Labour Rates - Daily Rates - 2 man Crew TBC,To Services of Technician per 10hr Cont. Day (call to Wrap),585.00,585.0,Pod Car Hire 2026.xls,19
Labour Rates - Daily Rates - 2 man Crew TBC,Overtime Charged @ 1.5T (Inc. Pre-Calls & Call Times Prior to 07:00),87.75,87.75,Pod Car Hire 2026.xls,20
Labour Rates - Daily Rates - 2 man Crew TBC,Sunday and Bank Holiday Work charged at Double Time,585.00,585.0,Pod Car Hire 2026.xls,21
Labour Rates - Daily Rates - 2 man Crew TBC,Turnaround Day After Night Work Chargeable from 23:59,585.00,585.0,Pod Car Hire 2026.xls,22
Labour Rates - Daily Rates - 2 man Crew TBC,Supplementary charge for Late Working between 22:00 & 23:59,292.50,292.5,Pod Car Hire 2026.xls,23
Labour Rates - Daily Rates - 2 man Crew TBC,Supplementary charge applies for Saturday working,292.50,292.5,Pod Car Hire 2026.xls,24
Labour Rates - Daily Rates - 2 man Crew TBC,"Commercials - Sundays, Night Work charged at 2T / Saturday Charged 1.5T - APA",585.00,585.0,Pod Car Hire 2026.xls,25
Labour Rates - Daily Rates - 2 man Crew TBC,Recce Charge per man,585.00,585.0,Pod Car Hire 2026.xls,26
Travel Charges,Transport Vehicle with Basic Hand Tools for Mechanical Back up,185.00,185.0,Pod Car Hire 2026.xls,29
Travel Charges,Recce Travel Time/Travel Day (When recce is outside the London area,58.50,58.5,Pod Car Hire 2026.xls,40
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Bespoke POD Car / Top Driver Build - Estimate - Including Pod Equipment Hire,"11,000.00",11000.0,Pod Car Build 2026.xls,14
Labour Rates - Daily Rates - 2 man Crew TBC,Precision Pod Car Driver per 10hr Cont. Day - Below Terms Apply to this Drivers rate,780.00,780.0,Pod Car Build 2026.xls,19
Travel Charges,Taxis/Ubers,TBC,,Q Tracking Vehicle Recce 2026.xls,19
Travel Charges,Train Fair - Charged back at Cost,TBC,,Q Tracking Vehicle Recce 2026.xls,20
Travel Charges,Overnight Meal,35.00,35.0,Q Tracking Vehicle Recce 2026.xls,21
Travel Charges,Recce Travel Day (When recce is outside the London area),585.00,585.0,Q Tracking Vehicle Recce 2026.xls,24
Travel Charges,Recce Hours Travel Time (When recce is outside the London area),58.50,58.5,Q Tracking Vehicle Recce 2026.xls,25
Labour Rates - Daily Rates,Tracking Teams/Zoom Meeting Techncian Per Hour - Minimum Charge of 1hr,75.00,75.0,Q Tracking Teams-Zoom Meeting 2026.xls,14
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Trojan Electric Tracking Vehicle,630.00,630.0,Q Trojan Electric 2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"Crane Mount, Remote Head Mount - Post Rig or Scaffold Rig",180.00,180.0,Q Trojan Electric 2026.xlsx,14
Travel Charges,Transport Vehicle,180.00,180.0,Q Trojan Electric 2026.xlsx,30
Travel Charges,Transport Vehicle Mileage (Miles),1.25,1.25,Q Trojan Electric 2026.xlsx,31
